epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3483.77,1.02688,0.81877,1.14957,0.87304,0.70401,0.80764,0.59661,0.98862,0.75705,1.09011,0.000110662,0.000110662,0.000110662
43,3565.25,1.01799,0.81238,1.14104,0.86053,0.71489,0.80887,0.59781,0.99142,0.75475,1.09239,9.90192e-05,9.90192e-05,9.90192e-05
44,3647.05,1.01495,0.79763,1.14043,0.87111,0.72007,0.8159,0.60871,0.97632,0.73685,1.08223,8.73768e-05,8.73768e-05,8.73768e-05
45,3729.22,1.00431,0.78523,1.12896,0.86807,0.72481,0.8161,0.6091,0.97151,0.73203,1.07899,7.57344e-05,7.57344e-05,7.57344e-05
46,3811.68,0.99712,0.77635,1.12081,0.86308,0.72559,0.81775,0.61229,0.96861,0.73037,1.07715,6.4092e-05,6.4092e-05,6.4092e-05
47,3894.49,0.9947,0.77865,1.12531,0.88348,0.7196,0.81994,0.61179,0.96119,0.72274,1.07132,5.24496e-05,5.24496e-05,5.24496e-05
48,3977.24,0.98622,0.77168,1.12281,0.86174,0.73395,0.82144,0.61733,0.95937,0.71988,1.07171,4.08072e-05,4.08072e-05,4.08072e-05
49,4058.37,0.98586,0.76842,1.11998,0.87461,0.72452,0.82086,0.62047,0.95732,0.71534,1.07057,2.91648e-05,2.91648e-05,2.91648e-05
50,4141.03,0.98045,0.76061,1.11748,0.86899,0.72585,0.82,0.61791,0.95429,0.71709,1.0684,1.75224e-05,1.75224e-05,1.75224e-05
1,89.331,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
2,173.614,1.22006,1.51206,1.30736,0.70292,0.58446,0.65434,0.45426,1.13772,1.2045,1.21241,0.000262378,0.000262378,0.000262378
3,259.016,1.19757,1.37016,1.27159,0.74807,0.62369,0.69894,0.49266,1.10118,1.07098,1.18709,0.000199787,0.000199787,0.000199787
1,88.6095,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
2,174.66,1.22006,1.51206,1.30736,0.70292,0.58446,0.65434,0.45426,1.13772,1.2045,1.21241,0.000262378,0.000262378,0.000262378
3,259.153,1.19757,1.37016,1.27159,0.74807,0.62369,0.69894,0.49266,1.10118,1.07098,1.18709,0.000199787,0.000199787,0.000199787
1,97.2048,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
1,97.1971,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
1,97.1451,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
1,95.7567,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
1,96.0785,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
1,95.9745,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
1,96.043,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
1,97.6434,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
1,88.4982,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
2,172.238,1.24564,1.52408,1.32043,0.67104,0.5564,0.61495,0.41746,1.16745,1.22312,1.23651,0.000387733,0.000387733,0.000387733
3,255.344,1.27411,1.44641,1.31788,0.68761,0.53631,0.61274,0.40752,1.21601,1.23028,1.27362,0.000575975,0.000575975,0.000575975
4,338.106,1.29738,1.44652,1.3402,0.69889,0.5209,0.60586,0.40649,1.20936,1.18245,1.25533,0.000570536,0.000570536,0.000570536
5,421.254,1.28314,1.39951,1.31948,0.73006,0.55595,0.64677,0.42632,1.21703,1.14395,1.25737,0.000564715,0.000564715,0.000564715
6,504.565,1.27871,1.35473,1.31967,0.67511,0.57028,0.62826,0.40933,1.21988,1.13873,1.25969,0.000558894,0.000558894,0.000558894
7,587.699,1.2843,1.34557,1.31711,0.71183,0.56756,0.64167,0.43716,1.19773,1.09839,1.247,0.000553073,0.000553073,0.000553073
8,671.002,1.27507,1.32371,1.31287,0.65087,0.57403,0.60306,0.39756,1.20205,1.15362,1.24735,0.000547252,0.000547252,0.000547252
9,755.055,1.27217,1.29362,1.305,0.73997,0.56782,0.64592,0.43825,1.19195,1.09038,1.2408,0.00054143,0.00054143,0.00054143
10,838.769,1.26879,1.27886,1.29922,0.70864,0.60972,0.6694,0.44969,1.19992,1.07509,1.23271,0.000535609,0.000535609,0.000535609
11,921.899,1.25478,1.2558,1.30017,0.74245,0.6009,0.6732,0.46047,1.18771,1.07207,1.23452,0.000529788,0.000529788,0.000529788
12,1005.65,1.25302,1.24322,1.28981,0.75492,0.61009,0.6816,0.45924,1.17597,1.03295,1.2203,0.000523967,0.000523967,0.000523967
13,1089.06,1.2456,1.23693,1.29574,0.71733,0.60634,0.67164,0.45049,1.17483,1.05684,1.2245,0.000518146,0.000518146,0.000518146
14,1172.55,1.24659,1.24504,1.2871,0.74567,0.60883,0.6839,0.47368,1.16184,1.0134,1.21164,0.000512324,0.000512324,0.000512324
15,1255.91,1.22771,1.21029,1.29074,0.74355,0.60338,0.6821,0.46379,1.16411,1.02546,1.21527,0.000506503,0.000506503,0.000506503
16,1339.2,1.23635,1.19445,1.27863,0.75359,0.5846,0.6738,0.46303,1.16035,1.02193,1.20724,0.000500682,0.000500682,0.000500682
17,1422.66,1.21866,1.17145,1.27444,0.74155,0.62227,0.701,0.48458,1.14577,0.99278,1.20219,0.000494861,0.000494861,0.000494861
18,1506.43,1.23457,1.19514,1.28246,0.80751,0.60257,0.70677,0.49053,1.15951,0.99996,1.20628,0.00048904,0.00048904,0.00048904
19,1589.87,1.22771,1.18377,1.28002,0.74957,0.61846,0.70461,0.4865,1.14542,0.98638,1.19852,0.000483218,0.000483218,0.000483218
20,1672.94,1.21595,1.15717,1.26857,0.78152,0.63448,0.72297,0.50701,1.13833,0.95734,1.18945,0.000477397,0.000477397,0.000477397
21,1757,1.21111,1.15252,1.26697,0.7819,0.62966,0.71607,0.49976,1.12586,0.96002,1.19418,0.000471576,0.000471576,0.000471576
22,1840.5,1.21921,1.15959,1.26582,0.7611,0.62386,0.70554,0.48354,1.15419,0.96073,1.20152,0.000465755,0.000465755,0.000465755
23,1924.18,1.20063,1.1277,1.26016,0.79251,0.63897,0.72716,0.50127,1.13658,0.93922,1.18448,0.000459934,0.000459934,0.000459934
24,2007.56,1.19394,1.10886,1.2501,0.79557,0.611,0.71981,0.49808,1.12545,0.94477,1.18344,0.000454112,0.000454112,0.000454112
25,2091.07,1.20382,1.12534,1.26114,0.78103,0.64458,0.72545,0.51145,1.10424,0.93203,1.16777,0.000448291,0.000448291,0.000448291
26,2174.78,1.19822,1.10697,1.25118,0.78402,0.64189,0.7319,0.5163,1.10638,0.9172,1.17007,0.00044247,0.00044247,0.00044247
27,2258.46,1.18731,1.11597,1.25015,0.80694,0.64812,0.73874,0.51736,1.09653,0.91095,1.16213,0.000436649,0.000436649,0.000436649
28,2342.12,1.19964,1.11009,1.25443,0.79325,0.64211,0.73879,0.52047,1.09846,0.91501,1.16769,0.000430828,0.000430828,0.000430828
29,2426.14,1.18059,1.09039,1.24457,0.80469,0.65173,0.744,0.52323,1.08671,0.90114,1.15851,0.000425006,0.000425006,0.000425006
30,2510.09,1.18578,1.09112,1.24832,0.79373,0.64396,0.73339,0.51891,1.08172,0.88598,1.15533,0.000419185,0.000419185,0.000419185
31,2594.74,1.1783,1.08797,1.24619,0.78793,0.64914,0.73762,0.52505,1.08406,0.88537,1.15888,0.000413364,0.000413364,0.000413364
32,2678.03,1.1784,1.07573,1.24226,0.81709,0.64453,0.74526,0.53484,1.0834,0.89012,1.16018,0.000407543,0.000407543,0.000407543
33,2761.86,1.17338,1.07415,1.24065,0.79465,0.64309,0.74271,0.53064,1.076,0.87877,1.1476,0.000401722,0.000401722,0.000401722
34,2844.67,1.15672,1.05729,1.22688,0.81085,0.66547,0.75772,0.54675,1.06656,0.85923,1.14122,0.0003959,0.0003959,0.0003959
35,2927.35,1.17087,1.06523,1.23575,0.83565,0.66426,0.76146,0.54409,1.06879,0.85639,1.14684,0.000390079,0.000390079,0.000390079
36,3010.15,1.15938,1.05193,1.23095,0.81785,0.66294,0.75698,0.54023,1.06772,0.86225,1.14524,0.000384258,0.000384258,0.000384258
37,3092.88,1.14847,1.03572,1.22483,0.81512,0.67967,0.76476,0.5519,1.06004,0.83729,1.13425,0.000378437,0.000378437,0.000378437
38,3177.66,1.15827,1.04495,1.22871,0.79485,0.68071,0.75962,0.54697,1.06031,0.85443,1.1375,0.000372616,0.000372616,0.000372616
39,3261.17,1.16365,1.05359,1.2298,0.81594,0.67958,0.76897,0.55118,1.04316,0.84307,1.12809,0.000366794,0.000366794,0.000366794
40,3345.22,1.139,1.01627,1.21492,0.83419,0.68083,0.77707,0.5591,1.05042,0.82989,1.13166,0.000360973,0.000360973,0.000360973
41,3427.86,1.14138,1.01116,1.21781,0.8339,0.68232,0.77945,0.56329,1.04845,0.81913,1.13062,0.000355152,0.000355152,0.000355152
42,3510.23,1.13667,1.00376,1.21489,0.83139,0.68197,0.77887,0.56261,1.04572,0.81254,1.13106,0.000349331,0.000349331,0.000349331
43,3593.71,1.12742,0.99456,1.20268,0.84142,0.68085,0.77712,0.55749,1.04338,0.8102,1.12627,0.00034351,0.00034351,0.00034351
44,3676.82,1.12965,1.00356,1.20844,0.82837,0.69283,0.78424,0.57112,1.02958,0.80557,1.12069,0.000337688,0.000337688,0.000337688
45,3759.59,1.12958,1.00517,1.21322,0.84098,0.69062,0.78819,0.57206,1.04205,0.81491,1.12526,0.000331867,0.000331867,0.000331867
