epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2843,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
2,173.113,1.21134,1.50804,1.30592,0.71261,0.58761,0.65419,0.45354,1.12324,1.19256,1.21054,0.000197763,0.000197763,0.000197763
1,96.4808,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
