epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2584.07,1.06997,0.93735,1.15508,0.80399,0.66174,0.75808,0.55931,0.96513,0.74784,1.04669,0.000175178,0.000175178,0.000175178
41,2647.96,1.05198,0.88682,1.13706,0.80673,0.67407,0.75363,0.55338,0.97223,0.7613,1.05441,0.000159952,0.000159952,0.000159952
42,2711.1,1.03148,0.85083,1.11976,0.82088,0.67804,0.76646,0.56189,0.95989,0.73993,1.04393,0.000144726,0.000144726,0.000144726
43,2774.4,1.01151,0.83214,1.10652,0.79937,0.67641,0.76284,0.56572,0.94872,0.72957,1.03697,0.0001295,0.0001295,0.0001295
44,2837.54,1.01415,0.81533,1.1093,0.84136,0.68123,0.77465,0.5731,0.94429,0.71836,1.03377,0.000114273,0.000114273,0.000114273
45,2900.55,1.00101,0.79787,1.09742,0.82996,0.68816,0.77493,0.57711,0.93733,0.70834,1.0298,9.90472e-05,9.90472e-05,9.90472e-05
46,2963.62,0.98679,0.78662,1.09382,0.84833,0.68389,0.77867,0.58283,0.92801,0.70013,1.02464,8.3821e-05,8.3821e-05,8.3821e-05
47,3026.66,0.98801,0.77517,1.09199,0.84878,0.68709,0.78091,0.58514,0.92124,0.69345,1.0193,6.85948e-05,6.85948e-05,6.85948e-05
48,3089.55,0.98194,0.77584,1.09291,0.84515,0.69381,0.78463,0.59013,0.91383,0.68543,1.01609,5.33686e-05,5.33686e-05,5.33686e-05
49,3152.42,0.97276,0.76183,1.0808,0.84625,0.70037,0.78905,0.59534,0.91159,0.67873,1.01312,3.81424e-05,3.81424e-05,3.81424e-05
50,3215.31,0.9631,0.75604,1.07763,0.86156,0.69376,0.79046,0.59537,0.90846,0.67542,1.01223,2.29162e-05,2.29162e-05,2.29162e-05
